Symbol,Date,Open,High,Low,Close,Volume
GOOGL,2025-05-19,164.51,166.64,164.22,166.54,30426097
GOOGL,2025-05-16,167.725,169.35,165.62,166.19,42846925
GOOGL,2025-05-15,165.84,166.205,162.3732,163.96,33146669
GOOGL,2025-05-14,159.96,167.0,159.61,165.37,48755869
GOOGL,2025-05-13,158.79,160.57,156.16,159.53,42382126
GOOGL,2025-05-12,157.485,159.1,156.25,158.46,44138818
GOOGL,2025-05-09,154.17,155.05,152.2,152.75,32435281
GOOGL,2025-05-08,155.0,155.93,152.9,154.28,57498692
GOOGL,2025-05-07,164.08,165.0,147.84,151.38,127747554
GOOGL,2025-05-06,162.17,164.8,161.19,163.23,21277210
GOOGL,2025-05-05,163.0,165.39,162.72,164.21,21341814
GOOGL,2025-05-02,163.405,164.97,161.87,164.03,25715005
GOOGL,2025-05-01,160.45,161.95,158.91,161.3,30203248
GOOGL,2025-04-30,157.975,159.27,155.4,158.8,34981059
GOOGL,2025-04-29,160.325,160.74,157.52,160.16,26808958
GOOGL,2025-04-28,162.425,163.15,158.6,160.61,29745782
GOOGL,2025-04-25,165.07,166.1,161.04,161.96,56033995
GOOGL,2025-04-24,156.15,159.59,155.79,159.28,45893951
GOOGL,2025-04-23,155.61,157.525,153.81,155.35,31128833
GOOGL,2025-04-22,148.89,152.19,148.54,151.47,26971774
GOOGL,2025-04-21,148.88,148.945,146.1,147.67,26049115
GOOGL,2025-04-17,154.29,154.68,148.5,151.16,33046576
GOOGL,2025-04-16,153.1,155.89,151.51,153.33,28187421
GOOGL,2025-04-15,159.125,159.65,155.21,156.31,27551534
GOOGL,2025-04-14,159.995,161.72,157.56,159.07,30332957
AMZN,2025-09-05,235.19,236.0,231.93,232.33,36721802
AMZN,2025-09-04,231.185,235.77,230.78,235.68,59391779
AMZN,2025-09-03,225.21,227.1699,224.36,225.99,26355706
AMZN,2025-09-02,223.52,226.17,221.83,225.34,38843883
AMZN,2025-08-29,231.32,231.8125,228.16,229.0,26199170
AMZN,2025-08-28,229.005,232.71,228.02,231.6,33679585
AMZN,2025-08-27,228.57,229.87,227.81,229.12,21254479
AMZN,2025-08-26,227.11,229.0,226.02,228.71,26105373
AMZN,2025-08-25,227.35,229.6,227.31,227.94,22633695
AMZN,2025-08-22,222.79,229.14,220.82,228.84,37315341
AMZN,2025-08-21,222.65,222.78,220.5,221.95,32140459
AMZN,2025-08-20,227.12,227.27,220.915,223.81,36604319
AMZN,2025-08-19,230.09,230.5283,227.12,228.01,29891012
AMZN,2025-08-18,230.225,231.91,228.33,231.49,25248890
AMZN,2025-08-15,232.58,234.08,229.807,231.03,39649244
AMZN,2025-08-14,227.4,233.11,227.02,230.98,61545824
AMZN,2025-08-13,222.0,224.9185,222.0,224.56,36508335
AMZN,2025-08-12,222.23,223.5,219.05,221.47,37254707
AMZN,2025-08-11,221.78,223.05,220.4,221.3,31646222
AMZN,2025-08-08,223.14,223.8,221.8836,222.69,32970477
AMZN,2025-08-07,221.0,226.22,220.82,223.13,40603513
AMZN,2025-08-06,214.695,222.65,213.7409,222.31,54823045
AMZN,2025-08-05,213.05,216.3,212.87,213.75,51505121
AMZN,2025-08-04,217.4,217.44,211.42,211.65,77890146
AMZN,2025-08-01,217.21,220.4399,212.8,214.75,122258801
AMZN,2025-07-31,235.77,236.53,231.4,234.11,104357263
AMZN,2025-07-30,231.64,231.8,229.29,230.19,32993273
AMZN,2025-07-29,234.15,234.72,230.31,231.01,33716220
AMZN,2025-07-28,233.35,234.29,232.25,232.79,26300138
